Metric,Units,Summary,Favorable Positive,Description,Metric_Ordinal,Format String,Metric Formatted
"REVENUE","USD",True,True,"Sum of sales by invoice date, previous month reversal, and delivered and not invoiced sales for the current month.",1,"\$#,0.00;(\$#,0.00);\$#,0.00","REVENUE"
"Sales","USD",False,True,"Sum of sales by invoice date.",2,"\$#,0.00;(\$#,0.00);\$#,0.00","  -  Sales"
"Rev Accrual","USD",False,True,"Sum of revenue reversal of previous month and delivered sales not invoiced for the current month.",3,"\$#,0.00;(\$#,0.00);\$#,0.00","  -  Rev Accrual"
"COGS","USD",True,False,"Cost of Goods Sold (COGS) is the sum of production by ship date and shipping costs by deliver date.",4,"\$#,0.00;(\$#,0.00);\$#,0.00","COGS"
"Production Costs","USD",False,False,"Sum of production expenses by ship date.",5,"\$#,0.00;(\$#,0.00);\$#,0.00","  -  Production Costs"
"Shipping Costs","USD",False,False,"Sum of shipping expenses by deliver date.",6,"\$#,0.00;(\$#,0.00);\$#,0.00","  -  Shipping Costs"
"GROSS PROFIT","USD",True,True,"Difference of COGS from Revenue.",7,"\$#,0.00;(\$#,0.00);\$#,0.00","GROSS PROFIT"
"Gross Margin","%",True,True,"Ratio of Gross Profit to Revenue",8,"0.0%","  -  Gross Margin"
"OPEX","USD",True,False,"Sum of expenses for SG&A, Marketing, and Depreciation.",9,"\$#,0.00;(\$#,0.00);\$#,0.00","OPEX"
"SG&A","USD",False,False,"Sum of expenses for Sales, General, and Administration.",10,"\$#,0.00;(\$#,0.00);\$#,0.00","  -  SG&A"
"Marketing","USD",False,False,"Sum of expenses associated with Marketing.",11,"\$#,0.00;(\$#,0.00);\$#,0.00","  -  Marketing"
"Depreciation","USD",False,False,"Sum of expenses associated with depreciation for assets.",12,"\$#,0.00;(\$#,0.00);\$#,0.00","  -  Depreciation"
"OPERATING PROFIT","USD",True,True,"Difference of Operational Expenses (OpEx) from Gross Profit.",13,"\$#,0.00;(\$#,0.00);\$#,0.00","OPERATING PROFIT"
"EBIT%","%",True,True,"Ratio of Operating Profit to Revenue.",14,"0.0%","  -  EBIT%"
